Code,Ward_name,Borough,Year,Measure,Value
E05000529,South Twickenham,Richmond upon Thames,Year ending Dec 2016,Median,666500
E05000530,Teddington,Richmond upon Thames,Year ending Dec 2016,Median,667500
E05000531,Twickenham Riverside,Richmond upon Thames,Year ending Dec 2016,Median,500000
E05000532,West Twickenham,Richmond upon Thames,Year ending Dec 2016,Median,545000
E05000533,Whitton,Richmond upon Thames,Year ending Dec 2016,Median,491250
E05000534,Brunswick Park,Southwark,Year ending Dec 2016,Median,460000
E05000535,Camberwell Green,Southwark,Year ending Dec 2016,Median,455000
E05000536,Cathedrals,Southwark,Year ending Dec 2016,Median,585000
E05000537,Chaucer,Southwark,Year ending Dec 2016,Median,499999
E05000538,College,Southwark,Year ending Dec 2016,Median,415000
E05000539,East Dulwich,Southwark,Year ending Dec 2016,Median,630000
E05000540,East Walworth,Southwark,Year ending Dec 2016,Median,517500
E05000541,Faraday,Southwark,Year ending Dec 2016,Median,490000
E05000542,Grange,Southwark,Year ending Dec 2016,Median,540000
E05000543,Livesey,Southwark,Year ending Dec 2016,Median,407500
E05000544,Newington,Southwark,Year ending Dec 2016,Median,465000
E05000545,Nunhead,Southwark,Year ending Dec 2016,Median,445000
E05000546,Peckham,Southwark,Year ending Dec 2016,Median,347500
E05000547,Peckham Rye,Southwark,Year ending Dec 2016,Median,481000
E05000548,Riverside,Southwark,Year ending Dec 2016,Median,914000
E05000549,Rotherhithe,Southwark,Year ending Dec 2016,Median,480000
E05000550,South Bermondsey,Southwark,Year ending Dec 2016,Median,385000
E05000551,South Camberwell,Southwark,Year ending Dec 2016,Median,500000
E05000552,Surrey Docks,Southwark,Year ending Dec 2016,Median,480000
E05000553,The Lane,Southwark,Year ending Dec 2016,Median,490000
E05000554,Village,Southwark,Year ending Dec 2016,Median,865000
E05000555,Beddington North,Sutton,Year ending Dec 2016,Median,365500
E05000556,Beddington South,Sutton,Year ending Dec 2016,Median,265000
E05000557,Belmont,Sutton,Year ending Dec 2016,Median,342000
E05000558,Carshalton Central,Sutton,Year ending Dec 2016,Median,421000
E05000559,Carshalton South and Clockhouse,Sutton,Year ending Dec 2016,Median,390000
E05000560,Cheam,Sutton,Year ending Dec 2016,Median,492500
E05000561,Nonsuch,Sutton,Year ending Dec 2016,Median,476000
E05000562,St Helier,Sutton,Year ending Dec 2016,Median,333500
E05000563,Stonecot,Sutton,Year ending Dec 2016,Median,430000
E05000564,Sutton Central,Sutton,Year ending Dec 2016,Median,306000
E05000565,Sutton North,Sutton,Year ending Dec 2016,Median,370000
E05000566,Sutton South,Sutton,Year ending Dec 2016,Median,322250
E05000567,Sutton West,Sutton,Year ending Dec 2016,Median,339000
E05000568,The Wrythe,Sutton,Year ending Dec 2016,Median,354000
E05000569,Wallington North,Sutton,Year ending Dec 2016,Median,338500
E05000570,Wallington South,Sutton,Year ending Dec 2016,Median,294500
E05000571,Wandle Valley,Sutton,Year ending Dec 2016,Median,315000
E05000572,Worcester Park,Sutton,Year ending Dec 2016,Median,340000
E05009317,Bethnal Green,Tower Hamlets,Year ending Dec 2016,Median,485000
E05009318,Blackwall and Cubitt Town,Tower Hamlets,Year ending Dec 2016,Median,497550
E05009319,Bow East,Tower Hamlets,Year ending Dec 2016,Median,430000
E05009320,Bow West,Tower Hamlets,Year ending Dec 2016,Median,570000
E05009321,Bromley North,Tower Hamlets,Year ending Dec 2016,Median,373510
E05009322,Bromley South,Tower Hamlets,Year ending Dec 2016,Median,371469
E05009323,Canary Wharf,Tower Hamlets,Year ending Dec 2016,Median,475000
E05009324,Island Gardens,Tower Hamlets,Year ending Dec 2016,Median,450000
E05009325,Lansbury,Tower Hamlets,Year ending Dec 2016,Median,379985
E05009326,Limehouse,Tower Hamlets,Year ending Dec 2016,Median,500000
E05009327,Mile End,Tower Hamlets,Year ending Dec 2016,Median,420000
E05009328,Poplar,Tower Hamlets,Year ending Dec 2016,Median,342500
E05009329,St Dunstan's,Tower Hamlets,Year ending Dec 2016,Median,420000
E05009330,St Katharine's and Wapping,Tower Hamlets,Year ending Dec 2016,Median,585000
E05009331,St Peter's,Tower Hamlets,Year ending Dec 2016,Median,410000
E05009332,Shadwell,Tower Hamlets,Year ending Dec 2016,Median,650000
E05009333,Spitalfields and Banglatown,Tower Hamlets,Year ending Dec 2016,Median,483500
E05009334,Stepney Green,Tower Hamlets,Year ending Dec 2016,Median,383750
E05009335,Weavers,Tower Hamlets,Year ending Dec 2016,Median,570000
E05009336,Whitechapel,Tower Hamlets,Year ending Dec 2016,Median,675000
E05000590,Cann Hall,Waltham Forest,Year ending Dec 2016,Median,446000
E05000591,Cathall,Waltham Forest,Year ending Dec 2016,Median,431999
E05000592,Chapel End,Waltham Forest,Year ending Dec 2016,Median,443600
E05000593,Chingford Green,Waltham Forest,Year ending Dec 2016,Median,390000
E05000594,Endlebury,Waltham Forest,Year ending Dec 2016,Median,460000
E05000595,Forest,Waltham Forest,Year ending Dec 2016,Median,456500
E05000596,Grove Green,Waltham Forest,Year ending Dec 2016,Median,403995
E05000597,Hale End and Highams Park,Waltham Forest,Year ending Dec 2016,Median,488000
E05000598,Hatch Lane,Waltham Forest,Year ending Dec 2016,Median,380500
E05000599,High Street,Waltham Forest,Year ending Dec 2016,Median,425250
E05000600,Higham Hill,Waltham Forest,Year ending Dec 2016,Median,422550
E05000601,Hoe Street,Waltham Forest,Year ending Dec 2016,Median,419000
E05000602,Larkswood,Waltham Forest,Year ending Dec 2016,Median,406000
E05000603,Lea Bridge,Waltham Forest,Year ending Dec 2016,Median,380000
E05000604,Leyton,Waltham Forest,Year ending Dec 2016,Median,423250
E05000605,Leytonstone,Waltham Forest,Year ending Dec 2016,Median,385000
E05000606,Markhouse,Waltham Forest,Year ending Dec 2016,Median,480000
E05000607,Valley,Waltham Forest,Year ending Dec 2016,Median,379500
E05000608,William Morris,Waltham Forest,Year ending Dec 2016,Median,435000
E05000609,Wood Street,Waltham Forest,Year ending Dec 2016,Median,396000
E05000610,Balham,Wandsworth,Year ending Dec 2016,Median,699567
E05000611,Bedford,Wandsworth,Year ending Dec 2016,Median,550000
E05000612,Earlsfield,Wandsworth,Year ending Dec 2016,Median,555000
E05000613,East Putney,Wandsworth,Year ending Dec 2016,Median,637000
E05000614,Fairfield,Wandsworth,Year ending Dec 2016,Median,595000
E05000615,Furzedown,Wandsworth,Year ending Dec 2016,Median,465000
E05000616,Graveney,Wandsworth,Year ending Dec 2016,Median,527500
E05000617,Latchmere,Wandsworth,Year ending Dec 2016,Median,485000
E05000618,Nightingale,Wandsworth,Year ending Dec 2016,Median,635000
E05000619,Northcote,Wandsworth,Year ending Dec 2016,Median,765000
E05000620,Queenstown,Wandsworth,Year ending Dec 2016,Median,823650
E05000621,Roehampton and Putney Heath,Wandsworth,Year ending Dec 2016,Median,351900
E05000622,St Mary's Park,Wandsworth,Year ending Dec 2016,Median,740000
E05000623,Shaftesbury,Wandsworth,Year ending Dec 2016,Median,830750
E05000624,Southfields,Wandsworth,Year ending Dec 2016,Median,635000
E05000625,Thamesfield,Wandsworth,Year ending Dec 2016,Median,750000
E05000626,Tooting,Wandsworth,Year ending Dec 2016,Median,607500
E05000627,Wandsworth Common,Wandsworth,Year ending Dec 2016,Median,675000
E05000628,West Hill,Wandsworth,Year ending Dec 2016,Median,410000
E05000629,West Putney,Wandsworth,Year ending Dec 2016,Median,599999
E05000630,Abbey Road,Westminster,Year ending Dec 2016,Median,1056500
E05000631,Bayswater,Westminster,Year ending Dec 2016,Median,780000
E05000632,Bryanston and Dorset Square,Westminster,Year ending Dec 2016,Median,1035000
E05000633,Churchill,Westminster,Year ending Dec 2016,Median,845000
E05000634,Church Street,Westminster,Year ending Dec 2016,Median,510000
E05000635,Harrow Road,Westminster,Year ending Dec 2016,Median,550000
E05000636,Hyde Park,Westminster,Year ending Dec 2016,Median,956980
E05000637,Knightsbridge and Belgravia,Westminster,Year ending Dec 2016,Median,2700000
E05000638,Lancaster Gate,Westminster,Year ending Dec 2016,Median,924000
E05000639,Little Venice,Westminster,Year ending Dec 2016,Median,1007500
E05000640,Maida Vale,Westminster,Year ending Dec 2016,Median,805000
E05000641,Marylebone High Street,Westminster,Year ending Dec 2016,Median,1881000
E05000642,Queen's Park,Westminster,Year ending Dec 2016,Median,675000
E05000643,Regent's Park,Westminster,Year ending Dec 2016,Median,950000
E05000644,St James's,Westminster,Year ending Dec 2016,Median,1133500
E05000645,Tachbrook,Westminster,Year ending Dec 2016,Median,765000
E05000646,Vincent Square,Westminster,Year ending Dec 2016,Median,1700000
E05000647,Warwick,Westminster,Year ending Dec 2016,Median,850000
E05000648,Westbourne,Westminster,Year ending Dec 2016,Median,648000
E05000649,West End,Westminster,Year ending Dec 2016,Median,1677000
